"","ENSG00000049768","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000115423","ENSG00000133063","ENSG00000134121","ENSG00000159899","ENSG00000165138","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000196533","ENSG00000228486","ENSG00000230063","ENSG00000254977"
"VU431-1-GBM-vIII",-1.46522426392766,-0.506236783317976,-0.0147360010776798,-0.576775008589648,-1.62717904084601,-0.265215430385703,-1.59740248505658,-1.57318813351683,-0.897340775203486,-0.884198182440009,-1.46574430843805,0.668409947072889,-1.43228236542348,-1.49723928032676,-0.620323503496883,-1.76439541996493,-1.58481404132364
"VU436-1-GBM-vIII",-1.14357542259172,-0.405162479898635,-0.973667095966615,-0.210071159188398,-1.26343782674827,0.301230621478505,-1.30156370308674,-1.16017203740839,-1.24674970617947,0.858153464986111,-1.07509522530864,-0.528055714185128,-0.877812082628746,-1.10501186516638,-0.331151410183631,-1.38851715860912,-1.25054192506378
"GBM-438",-1.30109728497203,-1.34065393539795,-1.21230232755727,-1.27903471782874,-1.44841387124565,-1.35957440123603,-1.44814282730761,-1.39129577122517,-1.43449565117323,-1.19991960329151,-1.30578861154944,-0.793551441151078,-1.11277711446198,-0.0175206456101178,-1.26295596565012,-1.56060244472701,-1.40593820288785
"VU439-1-GBM-vIII",-1.45911328934776,-1.49396528445521,-1.36477925809619,-0.261157971903084,-1.6192555572087,-1.51753264060467,-1.59261483402226,0.562149199419893,-1.58623607007376,-0.000901712005911492,-0.92816523089545,1.14376991744323,-1.38400493093673,-0.244334875722224,-1.44337714543525,-1.75375731965222,-1.57857831274658
"GBM-440",-0.503117280359524,-1.48912386529343,-1.35893982370678,0.873240288059721,-1.61401061785003,-0.998892850682887,-1.18747445796549,-1.55496352372964,-1.11108719013175,0.686565056025255,0.251710984350181,1.67542801439965,4.24125036983148,-1.48025612175168,-1.43874548149625,-1.74456271435521,-1.5720578160903
"VU443-1-GBM-WT",-1.31977591447445,-1.36704599459716,-1.2405992192379,0.539407536271609,-1.47034796312204,-1.38450213747124,-1.46552388865832,-1.41870196442239,-1.45675819234769,-0.0786250657990876,0.411297639187046,-0.825033397011273,-1.14063880114672,-1.36024757981101,-1.28924401012705,-1.581007976084,-1.42436478479636
"VU445-1-GBM-WT",-1.25469938346758,-0.593739366604602,-1.14201256711689,-1.2041230126903,-1.39392936881798,0.260758711735534,-1.40496809800058,-1.32321851467852,-1.37919527742162,-0.394780329890573,-1.23783811343581,-0.715349949602701,-1.04356840756092,-1.26598078906228,-1.1976562016483,-1.50991490183607,-1.36016639011413
"VU454-1-GBM-WT",-1.47714757255139,-0.370220424968028,0.343422113590835,-1.50224852655925,-1.64296576547661,-1.54764513365596,-1.60671202887808,-0.182552733932941,-1.60894400660847,-1.45833273811869,0.581064004501302,-0.593304856676211,1.99602213976146,-1.10662533660382,-1.47492672479643,-1.77946680133639,-1.59701960986858
"VU456-1-GBM-WT",-1.39036967236839,-1.44736412605609,-1.31460315034151,-1.39144759964881,-1.553245371165,-0.878072898908102,-1.53121363515568,-1.50804117926932,-1.54089693719353,-1.33088020535114,-0.781984822714386,-0.944015872129936,0.450499767174884,-0.453384732023635,-0.337694979460968,-1.65812836332261,-1.00828672030992
"VU468-1-GBM-WT",-1.373643853309,-1.4381361435829,-0.644719421092172,-1.37934808334286,-0.633909050730328,-1.45639208906688,-1.51564972629531,-1.49773962286751,-0.637773775390102,-1.30634380167871,0.154647927072314,-0.915825286879272,-1.22099007284824,-1.42727009856217,-1.36505700121294,-1.6398561862743,-1.47750583494935
"GBM-471",-1.45624234563008,-1.48879453250827,-1.3585428999238,-1.44469856258977,-1.6136466723532,0.0662225533461069,-1.58947504596948,-0.652999691607283,-1.58160962759979,0.348492506632995,-1.44803797603866,-1.03201516439748,-1.36260789004662,-1.47990849690265,-1.43842916149448,-1.74357520523569,-1.57116607662232
"GBM-475",-1.39569952953757,-1.45030892857132,-1.3180719841549,-1.39531447181283,-1.55950415887861,-1.47723828296412,-1.53617323748817,-1.51118545250722,-1.547249446336,-1.33869898699376,-1.40833590414507,-0.952999096949479,-1.25388907866776,-1.43997439127898,-1.39609785448274,-1.66395098363744,-1.49926389404681
"GBM-476",-1.3862131108267,-1.44506890477304,-1.31189967134398,-1.38843561174767,-1.54836437051485,-1.47246717057859,-1.52734582187983,-1.50559136836371,-1.53594284661349,-1.32478262223643,-0.775105441175984,-0.187618813951717,2.85802819056367,-1.43450446982783,-1.38274680016873,-1.65358751374555,-1.00191485899229
"GBM-480",-1.42560951731183,-1.46686271302034,-1.33757639727129,-0.384420255169691,-1.59462710083627,-0.933207721129091,-1.56400543644239,-1.52888357006182,-1.56438746990408,-0.057624195129223,0.546198747029946,-0.997788189586198,8.86888914399092,-1.45726516627779,-1.42269510292605,-0.603809272999037,-1.52877027938056
"GBM-484",-1.36581282270947,0.394586785395096,-1.29865630874129,-1.37370291505575,-1.52440855545838,-1.44594111539081,-1.50836270219795,-0.820739688287361,-1.51162830821965,-1.29485585437526,0.961642653713211,-0.902626451298628,-1.2093090380617,-1.42277135182845,-1.35403571720096,-1.63130115066874,-1.46978047550841
"GBM-485",-1.38875843123957,-0.234793140067173,-1.31355499251121,-1.39027965259714,-1.55135330992196,-1.47374711438379,-1.52971432382198,-1.50709129526298,-1.53897654351755,-1.32851655053638,0.215637788739053,-0.941300200613932,-1.24353549753367,-1.43597132936629,-1.38632904886705,-1.65636815755518,-1.49241645824824
"GBM-486",-1.32723772771751,0.0622893371140105,-1.25190337413067,1.35825256556379,-1.47911028142899,0.714431932762725,-1.47246734421262,-1.42965029954058,-1.46565172088726,6.18611789709976,0.242984652048268,0.460873392390461,5.73758079806493,-1.37105641022509,-1.29974566274492,-1.58915965895194,-1.43172590906361
"GBM-499",-1.33583931666686,-1.38974285581751,-1.26493421404049,-1.33512744508244,-1.48921102475566,-0.788810811691308,-1.48047139746625,-1.44227096898092,-0.912807486008304,-0.119060653978348,-1.35666889454923,-0.85210750963396,-0.411980767368838,-1.3835162659219,-1.31185141990678,-1.59855649360745,-1.44021142901559
