"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000149273",1926.97791842241,-1.97870703999857,0.187584692733594,-10.5483395855157,5.17026918930583e-26,4.49343394997852e-24
"ENSG00000142534",1071.97511567113,-1.62897353611136,0.154605533869222,-10.5363210186854,5.87525131866346e-26,5.06012636093898e-24
"ENSG00000104529",356.439696965761,-1.89191400967665,0.179700371972027,-10.5281585614701,6.40756554652082e-26,5.46931487720884e-24
"ENSG00000127184",177.990819456774,-1.80903862790949,0.171947348704815,-10.5208870130071,6.92188377473244e-26,5.8560361846409e-24
"ENSG00000154814",28.4704928482229,-3.21495820664564,0.306112023110029,-10.5025545027026,8.40736379353629e-26,7.05038577773745e-24
"ENSG00000117091",49.0943073890966,-2.73253839712649,0.260370084901773,-10.494824695999,9.12469320993919e-26,7.58539713800162e-24
"ENSG00000131469",655.673608066861,-2.20935586606764,0.210747572563316,-10.4834226045658,1.02949177020608e-25,8.48443217514669e-24
"ENSG00000083845",350.001091066442,-1.999777731324,0.192038789177849,-10.413405228628,2.15376947174214e-25,1.75983214956024e-23
"ENSG00000009790",210.528069909879,-2.95632910884772,0.284362330733603,-10.3963457509331,2.57624233765188e-25,2.08719294474169e-23
"ENSG00000142089",153.298244288551,1.77136188097684,0.170473902731733,10.3908096934013,2.73025369026167e-25,2.19338027553794e-23
"ENSG00000145592",581.02875307418,-2.45416501481016,0.237033364633468,-10.3536690651339,4.02748908214911e-25,3.20856630211212e-23
"ENSG00000234741",191.992347900552,-2.27345922855414,0.220033297452472,-10.3323417631607,5.03169379075915e-25,3.97545393716178e-23
"ENSG00000109920",41.1290422058883,-3.4715809056434,0.336294055670272,-10.3230516481302,5.54327545174856e-25,4.3437469933374e-23
"ENSG00000188404",249.939947218002,-2.5925711814876,0.251204620430185,-10.3205553187989,5.68931408317194e-25,4.42193842561981e-23
"ENSG00000215788",4.82291293562641,-5.23096443860731,0.507184987089392,-10.3137209731434,6.10892678382301e-25,4.70978548817323e-23
"ENSG00000101361",66.3044664842782,-2.67127812902295,0.260224801623177,-10.2652710747039,1.01036809854158e-24,7.72729521764598e-23
"ENSG00000213741",884.473628698674,-2.22857376087292,0.217290685970443,-10.2561863198134,1.11004465297957e-24,8.42224355752751e-23
"ENSG00000171863",503.047873531407,-2.17648614523912,0.212425897086425,-10.2458606746692,1.23520584846224e-24,9.29808496952678e-23
"ENSG00000135968",100.220563248655,-1.93517653858428,0.188893923390745,-10.2447792064819,1.24909745975711e-24,9.32919665256089e-23
"ENSG00000171988",103.338821484685,-1.93886626975872,0.189300583506742,-10.2422625109851,1.28202683899686e-24,9.50091207814729e-23
"ENSG00000145734",53.1214884480994,-2.50561888714426,0.244772770313395,-10.2365099023727,1.36056090880697e-24,1.00053556063036e-22
"ENSG00000211898",38.4420441736748,-3.65615887959798,0.357271690123096,-10.233553289202,1.40275993736575e-24,1.02369351154325e-22
"ENSG00000131797",4.33174292494957,-5.56868867363721,0.54490011978824,-10.2196503017862,1.61923959374147e-24,1.17117816924584e-22
"ENSG00000165813",24.6686868800446,-2.96464955661409,0.290110197310241,-10.2190463627299,1.62935875010143e-24,1.17117816924584e-22
"ENSG00000211734",3.89293761870439,-5.06321891038254,0.495514070991338,-10.2181132823392,1.64511605275043e-24,1.17367981076822e-22
"ENSG00000118181",653.420704627971,-2.14699426723573,0.210262762578417,-10.2110057002367,1.77020407903367e-24,1.25356674041199e-22
"ENSG00000104660",36.6292270185368,-2.09422663682367,0.205109715486278,-10.210275178134,1.78358283796347e-24,1.2537538184508e-22
"ENSG00000131018",95.7755135425095,-3.42476952106972,0.335692674242627,-10.2020978825246,1.94035256794455e-24,1.35399785033211e-22
"ENSG00000032219",93.4065204835661,-2.82732820401026,0.277411335371068,-10.1918265172128,2.15673436325874e-24,1.49408554440243e-22
"ENSG00000172159",308.22091932454,1.19446806645329,0.117207411843567,10.1910625588039,2.17375183498853e-24,1.49504083039499e-22
"ENSG00000023697",546.723927140284,1.31374115049667,0.129160136878178,10.1714134271612,2.66020049552566e-24,1.81653690980181e-22
"ENSG00000007312",43.5635358333869,-4.20419412520763,0.41480698740137,-10.1353020872322,3.85181154550394e-24,2.61158286347643e-22
"ENSG00000140386",60.2983039028937,-3.26785833456726,0.322524881419837,-10.1321123510884,3.97958019305661e-24,2.67921032715642e-22
"ENSG00000135486",632.596153495808,-1.83767981304827,0.181481281346986,-10.1260019733644,4.23617495107008e-24,2.8320162609951e-22
"ENSG00000129351",45.1301339477884,-2.92963987377552,0.289487520765952,-10.1200903791086,4.49999895887654e-24,2.9874993088097e-22
"ENSG00000184922",27.0281663230209,-4.26300614007924,0.421518650714362,-10.1134460666321,4.81598526671535e-24,3.17522890688267e-22
"ENSG00000105372",2157.15677367571,-1.89870827398305,0.187843252017175,-10.1079397507952,5.0944298275871e-24,3.33580473642005e-22
"ENSG00000147604",2520.8259180369,-1.86708184012309,0.184862214869913,-10.0998564873679,5.53230906287273e-24,3.59788262864376e-22
"ENSG00000187145",24.9496867694923,-2.4271068660687,0.240517108337857,-10.0912025877981,6.04246553371478e-24,3.90310611502117e-22
"ENSG00000125743",76.4601033791776,-2.29448769573571,0.227625551041637,-10.0800972704334,6.76591100850257e-24,4.34108115713319e-22
"ENSG00000169442",9.37797311531085,-3.36039434117086,0.334454594862714,-10.0473857820677,9.43367829095806e-24,6.0123976307706e-22
"ENSG00000156482",222.122293826775,-2.29542806547895,0.229085023226667,-10.0199831187033,1.24524213149843e-23,7.88378462061258e-22
"ENSG00000106355",30.3696410897451,-2.37193432339821,0.23680962132111,-10.0162075770642,1.29372213697002e-23,8.08364943100221e-22
"ENSG00000177954",3353.89323930358,-2.09660513170763,0.209316905914983,-10.0164156475693,1.29100239090385e-23,8.08364943100221e-22
"ENSG00000162191",179.222506834997,-1.78984277734947,0.178862454236196,-10.0068110157199,1.42264515099496e-23,8.8314854827999e-22
"ENSG00000101654",20.8341290193927,-3.1757731056016,0.317673179985451,-9.9969821366319,1.57112091598606e-23,9.69026835924304e-22
"ENSG00000170144",70.1633713731587,-1.59468684401221,0.159759902693385,-9.98177150290814,1.83166916665585e-23,1.12248443802756e-21
"ENSG00000152219",11.8877901870403,-3.14353635797279,0.31529702696561,-9.97007928754007,2.06064269996111e-23,1.25476077781071e-21
"ENSG00000162244",212.133643935496,-1.95797585508776,0.196645189343651,-9.95689679276144,2.35292498623893e-23,1.42366853597748e-21
"ENSG00000076662",41.4051215704642,-2.69222160997092,0.27054564176716,-9.95108105377623,2.49458417952974e-23,1.4998883494531e-21
"ENSG00000116824",43.4794900682851,-3.33471143258415,0.336055508987011,-9.9230970580906,3.30343647090776e-23,1.97380329136739e-21
"ENSG00000148362",19.835680900894,-3.36365032917932,0.339540082851785,-9.90648968725029,3.9011230654404e-23,2.31644326121802e-21
"ENSG00000174444",1495.18334176812,-1.02182206486967,0.103157173028708,-9.90548727605501,3.94044467567449e-23,2.32534883329927e-21
"ENSG00000007392",28.2708689343246,-3.42104409266639,0.345585222098288,-9.89927772922365,4.19292164106694e-23,2.45916140420859e-21
"ENSG00000211747",2.79664242472297,-4.55910848280441,0.460940275625526,-9.8908876570124,4.55966723188125e-23,2.65795236199907e-21
"ENSG00000185946",58.1472444535988,-2.68480100507181,0.27160366272755,-9.88499557815231,4.83603153402741e-23,2.80196736153346e-21
"ENSG00000198242",527.073304175707,-2.33336418793225,0.236292166425957,-9.87491131519763,5.34802463519066e-23,3.07994671761583e-21
"ENSG00000167664",2.65942492898094,-4.85972865386987,0.492340109051965,-9.87067387872912,5.57885419695335e-23,3.19364348041162e-21
"ENSG00000184990",16.0234294714113,-2.48243181044132,0.251802841959561,-9.85863301272823,6.28998763395178e-23,3.57930248693923e-21
"ENSG00000104763",3351.39823022554,1.38147258684801,0.140249215438798,9.85012702228523,6.84574033467637e-23,3.87250163310687e-21
"ENSG00000256525",8.15120135169063,-4.80835000120434,0.488598173849421,-9.84111332901995,7.4877588273012e-23,4.21076319935291e-21
"ENSG00000103415",37.9523511642073,-2.61169164790195,0.265532597354474,-9.83567243314937,7.90378177880688e-23,4.41872244475987e-21
