"","ENSG00000049768","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000115423","ENSG00000133063","ENSG00000134121","ENSG00000159899","ENSG00000165138","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000196533","ENSG00000228486","ENSG00000230063","ENSG00000254977","cancer_type"
"VU430-GBM",-0.745468662350683,-0.751995856469173,-0.768894673720953,-0.192069308244375,-0.754055884483496,0.895294336242311,-0.73819767567336,-0.729589536488494,-0.746526937519512,-0.604406969704012,0.245465016141925,-0.68469304282095,0.402912654001875,-0.7556691281152,-0.168265204051422,-0.711929613791341,-0.729621597996104,"GBM"
"VU431-1-GBM-vIII",-0.700626990163726,1.06523188609166,1.36642647464513,0.594658009216489,-0.696315268052766,1.66174446038255,-0.696020150794873,-0.655766305515012,0.832258630790526,0.0320122473882591,-0.673989342347178,0.738855660896072,-0.431106106954909,-0.683358494631364,0.502354513010435,-0.657544801686906,-0.68338187686208,"GBM"
"VU436-1-GBM-vIII",0.00767588018619148,1.24206145765478,-0.0836290149249672,1.12959808369053,0.074658464739802,2.71830118630033,0.0900798119526815,0.018621417846784,0.0688169790909749,1.88970368718269,-0.0295498857286287,-0.19550794846835,-0.0590371748215576,-0.0128258269105861,0.872077116569608,0.129197573972484,0.0569843716925749,"GBM"
"GBM-438",-0.339202991826619,-0.394581563179039,-0.444483230016342,-0.429784089697552,-0.31741058318785,-0.37949552604701,-0.299408825481413,-0.358765832026044,-0.341398850096806,-0.304609227238859,-0.410116299154115,-0.402843230834837,-0.216706920515097,1.84629559190665,-0.319286829750656,-0.230990286661084,-0.28719677191955,"GBM"
"VU439-1-GBM-vIII",-0.687170013861244,-0.662799886258491,-0.675052466262005,1.05507368629776,-0.679520916684773,-0.674125243510512,-0.683298450567919,2.83089025856852,-0.672944342398389,0.973780973781729,0.212835134100627,1.11008157405399,-0.398710261671578,1.45854515704243,-0.549965342200041,-0.63527843203218,-0.669570605299082,"GBM"
"GBM-440",1.41802866926478,-0.654329819711674,-0.666222317842082,2.70991066348945,-0.668403918338421,0.293261423881794,0.393236655496117,-0.626008498932303,0.365233029579126,1.7067565083136,2.15923362795851,1.52527274460351,3.37603258330995,-0.654324923326775,-0.544043502264805,-0.616033409485445,-0.655128612044789,"GBM"
"VU443-1-GBM-WT",-0.380335199347767,-0.440754491044815,-0.487272605955831,2.22292227382572,-0.363901351992541,-0.425991688028433,-0.345593614336104,-0.403515662384796,-0.390041428172256,0.890912507346156,2.4224978760217,-0.427428636718073,-0.235403085727007,-0.449164231680949,-0.35289755661966,-0.273700647612748,-0.328009088166362,"GBM"
"VU445-1-GBM-WT",-0.237030179148923,0.912146049338027,-0.338193994501517,-0.320504426582029,-0.201927050973326,2.64281144052676,-0.184685350506614,-0.247606808230618,-0.220570202246836,0.553828470024347,-0.29802085602517,-0.34177283803811,-0.170265460133819,-0.288010369826656,-0.235797449838746,-0.124897325162025,-0.185818572349709,"GBM"
"VU454-1-GBM-WT",-0.726883306484279,1.30319260962799,1.9080181938805,-0.755403827971086,-0.729776282491871,-0.730292211155155,-0.720757380993529,1.61491382048537,-0.722560087841195,-0.580128735145344,2.70255521889017,-0.24646338017025,1.86940599595311,-0.0155841381999574,-0.590303234037951,-0.689090372696736,-0.710415513697254,"GBM"
"VU456-1-GBM-WT",-0.535789704134375,-0.581271123800706,-0.599178254983706,-0.593769702258903,-0.539607930297786,0.518619394429204,-0.520143776186538,-0.54939198603232,-0.573880525122672,-0.444239129018957,0.453983589030639,-0.520346384801285,0.832306485663627,1.10116382056672,0.863710799329008,-0.4351196039765,0.593545958531676,"GBM"
"VU468-1-GBM-WT",-0.498957780227813,-0.5651267613671,0.413791899127518,-0.576119175370862,1.40898663965064,-0.560083560739527,-0.47878750743138,-0.532571229566994,1.39939999867344,-0.418078470157154,1.99911226433262,-0.498331330096573,-0.289321596394258,-0.563742628189018,-0.44982868204994,-0.396874519178024,-0.445709123653134,"GBM"
"GBM-471",-0.680847909085738,-0.653753651750764,-0.665622106300796,-0.671451117733442,-0.66763251161477,2.27995519692842,-0.674955435987846,0.846750894783846,-0.662835788864983,1.34630431029534,-0.644779855564918,-0.589068237009032,-0.384352099653103,-0.653730641008975,-0.543639069550457,-0.613966476250535,-0.653153533142057,"GBM"
"GBM-475",-0.547526581891514,-0.586423058065795,-0.604423680374875,-0.599410616273795,-0.552873847766851,-0.598966674673199,-0.533322383747228,-0.554526069886471,-0.587760451026733,-0.452575496564839,-0.579284804526337,-0.527361712225973,-0.311397978742145,-0.585461261200494,-0.489516139287304,-0.447306800231288,-0.493900198547619,"GBM"
"GBM-476",-0.52663654052111,-0.577255632400875,-0.595090167130261,-0.589375875919797,-0.52926232428681,-0.590067414338607,-0.509866259994053,-0.545391845565961,-0.563056076289809,-0.437737899504028,0.465332252298871,0.0703516254106612,2.44784217326796,-0.576110152937542,-0.472446073830163,-0.425615253363399,0.607658745182349,"GBM"
"GBM-480",-0.613391361956158,-0.61538391669001,-0.633917438019203,0.875261188833823,-0.627319262853846,0.415779826463018,-0.607277834805452,-0.583424200777482,-0.62520620544158,0.913303588807392,2.64503928310526,-0.562339145855117,6.48133988367939,-0.615020718389817,-0.523522200623652,1.77165208543233,-0.559252738455477,"GBM"
"GBM-484",-0.481713068795285,2.64122341233168,-0.57506410817279,-0.567884119347164,-0.478486378531012,-0.540590007040103,-0.459424497168381,0.572858919280567,-0.509929983319446,-0.405830046368561,3.33038185023413,-0.488023878698786,-0.281483213934274,-0.556051792382633,-0.435737357493735,-0.378968165637143,-0.42859852689735,"GBM"
"GBM-485",-0.532241590260782,1.54012274871211,-0.597593274557204,-0.592065924990619,-0.535597580459269,-0.592454814218491,-0.516159820547859,-0.547840980832936,-0.569684557618898,-0.441719005528102,2.09972500095265,-0.518225618011478,-0.304450364062238,-0.578617823746562,-0.477026178017135,-0.431435356682916,-0.47873408056228,"GBM"
"GBM-486",-0.39676685728915,2.05986877101126,-0.504366276131487,3.41743665284702,-0.38247366931925,3.48901999201645,-0.364043697574788,-0.421392502693266,-0.409473358829326,7.570367479528,2.14483811779407,0.576782807000508,4.38012258024413,-0.467642475710706,-0.366324503539281,-0.290762752566656,-0.344312954668502,"GBM"
