"","ENSG00000049768","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000100985","ENSG00000103037","ENSG00000115423","ENSG00000124107","ENSG00000128596","ENSG00000133063","ENSG00000134121","ENSG00000152583","ENSG00000159899","ENSG00000165138","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000184206","ENSG00000196081","ENSG00000196533","ENSG00000196634","ENSG00000197457","ENSG00000198178","ENSG00000213160","ENSG00000228486","ENSG00000229391","ENSG00000229807","ENSG00000230063","ENSG00000239219","ENSG00000254977","ENSG00000268632","ENSG00000269161"
"GBM-480",-1.43830711274764,-1.48060531777828,-1.349720923251,-0.291847471858665,4.5554517394036,-1.48411880378545,-1.606301599978,5.52841879520754,-1.53995546559079,-0.934895370848995,-1.58276845822927,-1.33470716589198,-1.54200987342036,-1.57823939412729,-0.052168850293266,0.566563025278825,-1.01078091611938,8.76908230672085,-0.906402557952761,-1.4743987237037,-1.46976493489588,-0.395911003118349,-0.805887315523007,1.12282448267192,-1.43445393966601,-1.28914267850594,3.34444146001359,-0.876523760461175,-0.596444479684603,-1.35373050845705,-1.54033302183652,-0.645542463727091,-1.42065348896737
"GBM-484",-1.37716951065268,0.414676742108993,-1.30986214791132,-1.31650711801268,-1.14359091955843,-1.42620381997867,-1.53480116081874,0.249513376784508,-1.46377823057693,-1.45571752930583,-1.52578498299737,0.963865829745644,-0.820982756591701,-1.52177552499227,-1.30443566695093,0.986021035004728,-0.913515526168477,-1.24144631636602,-1.39774084804459,-1.40861570169344,-1.43432863731212,-1.50056130947249,-0.334178584898345,-0.974901321042017,-0.739045187795607,-1.20391404052547,2.77433475829422,-0.79816405257153,-1.64190130977183,-1.29478979097404,-1.48000128153403,-1.21355750826169,-0.740193411095061
"GBM-485",-1.40062966164379,-0.225981119760023,-1.32511569455911,-1.35384569291198,-1.17920934209194,-1.45375938652316,-1.56223781258668,-0.621289916198885,-0.90314477305601,-1.48678236241766,-1.54765108318988,-1.30560515513934,-1.51964031333682,-1.54961157281685,-1.33847777581533,0.230429453951299,-0.952429954607827,-1.27604078048515,-1.4259313363218,-0.328071913465656,-1.44788499260572,-1.5216623370866,-1.34386590181572,-0.991053393277414,-1.38651880581884,-1.23661857337061,-0.429551950710541,-0.830749102417723,-1.66747489269156,-0.525834970027422,-1.50315220156609,-0.579216720570704,-1.37319594156625
"GBM-486",-1.3377293906916,0.0754287235409523,-1.25941259173537,5.11993898351338,1.8643148191139,-1.37987867695115,-1.4886759318094,6.94397061768453,0.0676110512271315,0.742696246938504,-1.48902470745606,-1.24255900618105,-1.43768826129834,-1.47497884981911,6.17927726107973,0.258066781633856,0.45798075796746,5.19818416101261,-1.35034830398822,-1.36617880213271,-1.37872601168198,-1.4551086652313,-1.26228749110901,-0.935028708700072,-1.30649394164198,-1.14893269368024,0.575631749758467,-0.719813896946928,-1.59890818587543,-0.759429762677463,-1.44108102634811,0.651783811089157,-0.256984610054374
"GBM-499",-1.34652386547096,-1.39847138378133,-1.27257641765269,-1.267732294765,-1.09706310567911,-1.39020839456884,-1.49896107200713,0.326324031996441,-1.42559386555172,-0.788217097639952,-1.4972216225884,-1.25690171491451,-1.4504518564632,-0.91171602013072,-0.114698022517719,-1.36460289835496,-0.862682188955334,-0.435545131224489,-1.3609160338492,-1.37564150770433,-1.39133244800194,-1.46524383048508,-1.27369347179303,-0.949057178511257,-1.31768271140515,-1.16119259726681,-0.335418744583278,-0.737284646738747,-1.60849491999707,-1.2652453493727,-1.44975958013995,-1.16868263716644,-1.30504567366544
"GBM-505",-1.39901693359035,-0.829418096425494,-1.32406518860017,-1.35127891628558,-1.1767608144051,-1.45186512611488,-1.56035172677183,1.7010143431038,-1.49100004194246,-1.48464686346653,-1.5461479354389,-1.30436502044135,-1.51868639564658,-1.54769803120152,-1.33613760912226,-1.41567496275291,-0.949754848618458,-1.27366264307249,-1.42399342930227,-1.43212315790253,-1.44695117620297,-0.679547211816058,-1.34177427662063,-0.990005790309688,-1.38446701269495,-1.23437035605889,-0.426743968846877,-0.828774837003703,-1.66571688036601,-0.522660250505308,-1.50156073106734,-1.2455490125122,-1.37116459082996
"HD-1",-0.487478371438959,-1.42495040364697,-1.3008993523325,0.757864415734115,-0.418213047448398,-0.852042062306609,-1.52109030372309,3.8605034219243,-1.44917055549831,-1.44019356919952,-1.51485788527734,-1.27867438883708,-0.158509827197175,-1.50786507859165,0.14146743813424,-1.39201531400496,-0.894068905210369,-1.22415850159001,0.14806576990953,-1.39600121114334,0.674007546095611,-1.48705038013523,-1.298234273829,0.179609478094767,-0.00726893034847786,-0.483033554517824,4.78025829965172,-0.774874243279235,-1.06677414702503,-1.28348737431721,-1.46843212364708,-1.19639033694114,-1.32887928228796
"HD-2-1",-1.27970962605686,-1.30497282721978,-1.17256691867624,-1.16139246414548,0.242953569707237,-1.31173045889859,-1.4208218042488,-0.426323673885475,0.205076129904777,-1.32666571496692,-1.43494722146162,-1.14793589271293,-1.35348302949801,-1.40613696795074,-0.428784995533988,-1.26780848118444,-0.751854345630901,-0.337020496454022,0.155332048752804,-1.30375052030267,-1.29555760350328,-1.38824396696207,-1.18703884564487,-0.072890910697489,0.761604837140676,-1.06805046496467,4.1650380395041,1.589626747057,-0.973314317916499,-1.20083197570077,-0.378404384079565,-0.351383199603444,-0.571106232536538
"HD-3-1",-1.33597439762488,-1.38370866217063,-1.2567856670132,-1.25094203218451,-1.08104635440638,-1.37781731646573,-1.48662346703008,-0.535017664090981,-1.41244926609337,-0.769917550682216,-1.48738896119643,-1.23969682793655,-1.43514120515426,-1.47289650725637,-1.24465904731599,-1.34931978504596,-0.845183302791934,-1.18069978237889,-0.302029964457585,0.23927202928727,-1.37621031757941,-1.45308612890063,-1.2600113555214,1.43474267974441,-0.664456040858419,-1.14648615237642,4.5797195574472,1.82829408031409,-1.59699509244596,-1.25507496024056,-0.508035054739162,-0.460046755186404,0.0336847852103375
"HD-4",-0.793432568702284,-1.34639059071977,0.647834269400108,-1.20849862403928,-1.04055827340284,0.120044242864877,-1.45543574729878,-0.487571832617086,-1.37922157849518,-1.36585695350741,-0.0792518873383348,-1.19620530797984,-1.39643804495295,-1.44125478707407,-1.20596278950345,-1.31068623701213,-0.800948594492419,-1.14137565273188,-0.696303358351132,-1.33559661529583,-1.33798371150509,-1.42235317949123,-0.592224959310876,-0.888523325009814,0.378789521366145,2.55116419731042,-0.270972047475626,1.17746850725119,-0.568006370906861,-1.22936565552528,-0.903958643616712,-1.11418519030094,-1.25816806094116
